feature	metafeature
F00.0	dementia_alzheimer
F000	dementia_alzheimer
F00.1	dementia_alzheimer
F001	dementia_alzheimer
F00.2	dementia_alzheimer
F002	dementia_alzheimer
F00.8	dementia_alzheimer
F008	dementia_alzheimer
F05.0	dementia
F050	dementia
F06.7	mild_cognitive_disorder
F067	mild_cognitive_disorder
F10	abuse_alcohol_drugs
F12	abuse_alcohol_drugs
F17	abuse_alcohol_drugs
F19	abuse_alcohol_drugs
F20.0	schizophrenia
F200	schizophrenia
F20	schizophrenia
F31	bipolar_disorder
F32	major_depression
F33	major_depression
F60	emotional_personality_disorder
J45	respiratory
J44	respiratory
I82	cardiovascular
I26	cardiovascular
G45	cardiovascular
I11	cardiovascular
I10	cardiovascular
E10	diabetes
E11	diabetes
E12	diabetes
E13	diabetes
E14	diabetes
T39	self_harm
T50	self_harm
X60	self_harm
X61	self_harm
X62	self_harm
X63	self_harm
X64	self_harm
X78	self_harm
Z63	lack_family_support
Z86	abuse_alcohol_drugs
Z91.5	self_harm
Z915	self_harm
Z91.1	noncompliance
Z911	noncompliance
Z91	personal_risk_factors
atorvastatin	cardiovascular
simvastatin	cardiovascular
metformin	diabetes
insulin	diabetes
clozapine	SGA
olanzapine	SGA
risperidone	SGA
quetiapine	SGA
aripiprazole	SGA
sertraline	SSRI
citalopram	SSRI
dapoxetine	SSRI
escitalopram	SSRI
fluoxetine	SSRI
fluvoxamine	SSRI
paroxetine	SSRI
vortioxetine	SSRI
venlafaxine	SSRI
prior_suicide	crisis
suicide_any	suicide_any
intervention	crisis
thiamine	abuse_alcohol_drugs
memantine	dementia_drug
donepezil	dementia_drug
lithium	bipolar_drug
levothyroxine	thyroid
haloperidol	FGA
furosemide	diuretic
bisoprolol	blood_pressure
amlodipine	blood_pressure
aspirin	aspirin
